city,year,city_temp,global_temp,city_temp Moving average,Global Moving Average,,,,,
San Jose,1849,14.12,7.98,14.120,7.98,,,,,
San Jose,1850,13.8,7.9,13.960,7.94,,,,,
San Jose,1851,14.39,8.18,14.095,8.04,,,,,14.175
San Jose,1852,13.81,8.1,14.100,8.14,,,,,
San Jose,1853,14.4,8.04,14.105,8.07,,,,,
San Jose,1854,13.98,8.21,14.190,8.125,,,,,
San Jose,1855,14.2,8.11,14.090,8.16,,,,,
San Jose,1856,14.1,8,14.150,8.055,,,,,
San Jose,1857,14.78,7.76,14.440,7.88,,,,,
San Jose,1858,14.19,8.1,14.485,7.93,,,,,
San Jose,1859,13.71,8.25,13.950,8.175,,,,,
San Jose,1860,13.81,7.96,13.760,8.105,,,,,
San Jose,1861,14.88,7.85,14.345,7.905,,,,,
San Jose,1862,14.43,7.56,14.655,7.705,,,,,
San Jose,1863,14.43,8.11,14.430,7.835,,,,,
San Jose,1864,15.18,7.98,14.805,8.045,,,,,
San Jose,1865,14.32,8.18,14.750,8.08,,,,,
San Jose,1866,14.67,8.29,14.495,8.235,,,,,
San Jose,1867,14.46,8.44,14.565,8.365,,,,,
San Jose,1868,14.25,8.25,14.355,8.345,,,,,
San Jose,1869,14.57,8.43,14.410,8.34,,,,,
San Jose,1870,14.19,8.2,14.380,8.315,,,,,
San Jose,1871,14.34,8.12,14.265,8.16,,,,,
San Jose,1872,14.63,8.19,14.485,8.155,,,,,
San Jose,1873,14.46,8.35,14.545,8.27,,,,,
San Jose,1874,14.09,8.43,14.275,8.39,,,,,
San Jose,1875,14.76,7.86,14.425,8.145,,,,,
San Jose,1876,14.44,8.08,14.600,7.97,,,,,
San Jose,1877,15.03,8.54,14.735,8.31,,,,,
San Jose,1878,14.37,8.83,14.700,8.685,,,,,
San Jose,1879,14.2,8.17,14.285,8.5,,,,,
San Jose,1880,13.22,8.12,13.710,8.145,,,,,
San Jose,1881,14.39,8.27,13.805,8.195,,,,,
San Jose,1882,13.58,8.13,13.985,8.2,,,,,
San Jose,1883,13.93,7.98,13.755,8.055,,,,,
San Jose,1884,14.05,7.77,13.990,7.875,,,,,
San Jose,1885,15.05,7.92,14.550,7.845,,,,,
San Jose,1886,14.58,7.95,14.815,7.935,,,,,
San Jose,1887,14.38,7.91,14.480,7.93,,,,,
San Jose,1888,14.7,8.09,14.540,8,,,,,
San Jose,1889,14.81,8.32,14.755,8.205,,,,,
San Jose,1890,14.05,7.97,14.430,8.145,,,,,
San Jose,1891,14.46,8.02,14.255,7.995,,,,,
San Jose,1892,14.05,8.07,14.255,8.045,,,,,
San Jose,1893,13.4,8.06,13.725,8.065,,,,,
San Jose,1894,13.8,8.16,13.600,8.11,,,,,
San Jose,1895,13.95,8.15,13.875,8.155,,,,,
San Jose,1896,14.22,8.21,14.085,8.18,,,,,
San Jose,1897,13.81,8.29,14.015,8.25,,,,,
San Jose,1898,13.77,8.18,13.790,8.235,,,,,
San Jose,1899,14.04,8.4,13.905,8.29,,,,,
San Jose,1900,14.64,8.5,14.340,8.45,,,,,
San Jose,1901,14.34,8.54,14.490,8.52,,,,,
San Jose,1902,14.07,8.3,14.205,8.42,,,,,
San Jose,1903,14.12,8.22,14.095,8.26,,,,,
San Jose,1904,14.5,8.09,14.310,8.155,,,,,
San Jose,1905,14.39,8.23,14.445,8.16,,,,,
San Jose,1906,14.81,8.38,14.600,8.305,,,,,
San Jose,1907,14.34,7.95,14.575,8.165,,,,,
San Jose,1908,14.01,8.19,14.175,8.07,,,,,
San Jose,1909,14.05,8.18,14.030,8.185,,,,,
San Jose,1910,14.17,8.22,14.110,8.2,,,,,
San Jose,1911,13.46,8.18,13.815,8.2,,,,,
San Jose,1912,13.95,8.17,13.705,8.175,,,,,
San Jose,1913,14.38,8.3,14.165,8.235,,,,,
San Jose,1914,14.33,8.59,14.355,8.445,,,,,
San Jose,1915,14.3,8.59,14.315,8.59,,,,,
San Jose,1916,13.61,8.23,13.955,8.41,,,,,
